name,price
Google Pixel 9 Pro 5G 128GB 16GB RAM Dual-SIM,1469
Google Pixel 9 Pro 5G 256GB 16GB RAM Dual-SIM,1625
Google Pixel 9 Pro XL 5G 256GB 16GB RAM Dual-SIM,1895
Google Pixel 9 5G 128GB 12GB RAM Dual-SIM,1175
Google Pixel 8a 5G 256GB 8GB RAM Dual-SIM,869
Google Pixel 9 5G 256GB 12GB RAM Dual-SIM,1485
Google Pixel 8a 5G 128GB 8GB RAM Dual-SIM,799
Google Pixel Fold 5G 256GB 12GB RAM Dual-SIM,1695
Google Pixel 8 5G 128GB 8GB RAM Dual-SIM,929
Google Pixel 8 Pro 5G 128GB 12GB RAM Dual-SIM,1074
Google Pixel 6a 5G 128GB 6GB RAM,599
Google Pixel 6 Pro 5G 128GB 12GB RAM,599
